model,model_tag,dataset,question_num,eval_mode,prompt_key,prompt_name,phase,task_idx,decision,choice_code,p_switch,reply
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_2_switch_task,Switch Task,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_2_switch_task,Switch Task,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_3_continue_conversation,Continue Conv,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_3_continue_conversation,Continue Conv,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_3_continue_conversation,Continue Conv,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,1,binary,prompt_3_continue_conversation,Continue Conv,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_1_switch_user,Switch User,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_1_switch_user,Switch User,mid_70,0.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_1_switch_user,Switch User,mid_70,1.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_1_switch_user,Switch User,mid_70,2.0,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_2_switch_task,Switch Task,before,,continue,0,0.0,continue
google/gemma-4-31b-it,google_gemma-4-31b-it,abstention,10,binary,prompt_2_switch_task,Switch Task,mid_70,0.0,continue,0,0.0,continue
